,REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
16143,EJE CAFETERO,RISARALDA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,SE,,BA,Individual,,,0,0,0,0,0,0,0,0,0,8160082493
8732,COSTA,CESAR,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,4,0.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,1,0,1235338085
8731,CENTRO,CUNDINAMARCA,HFC,RETAIL,RETAIL,INDIRECTA,3,4.0,TV,Individual,,,0,0,0,0,0,0,0,1,0,1235244065
9116,COSTA,BOLIVAR,HFC,FVD,FVD,INDIRECTA,2,0.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1235043740
9115,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,4,0.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1234991241
9112,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,3,19.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,1,0,1234991095
9109,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,19.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,1,1234991067
9108,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,178.0,BA,Individual,,,1,1,0,0,0,1,0,0,0,1234989947
9106,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,2,13.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1234989150
9105,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,34.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1234989063
9103,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,40.0,TO+BA,Duo,1.0,Navegacion Lenta,1,1,1,1,0,1,0,0,0,1234988103
9102,COSTA,ATLÁNTICO,HFC,CONTACT,SAC,INDIRECTA,4,1.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1234888928
9099,SUR,CAUCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,4.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,1,0,1234790134
9098,SUR,VALLE DEL CAUCA,HFC,CONTACT,IN BOUND,INDIRECTA,3,1.0,TV,Individual,,,1,0,0,0,0,0,0,0,1,1234194098
9442,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,19.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1233901778
9441,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,2.0,TO,Individual,,,1,1,0,0,0,0,0,0,0,1233892784
9438,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,3,4.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1233892282
9437,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,11.0,BA,Individual,,,0,0,0,0,0,0,0,0,1,1233891244
9436,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,19.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1233890390
9433,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,0.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,0,1233692280
9431,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,43.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1233690886
9430,CENTRO,CUNDINAMARCA,HFC,FVD,DEALERS,DIRECTA,2,11.0,BA,Individual,,,0,0,0,0,0,0,0,0,1,1233499215
9428,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,15.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1233495805
9426,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,6.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1233492304
6777,CENTRO,CUNDINAMARCA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,7.0,TO+TV+BA,Trio,1.0,Mala calidad en la imagen,0,0,0,0,0,0,0,0,0,1233491070
9424,CENTRO,CUNDINAMARCA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,7.0,TO+TV+BA,Trio,1.0,Mala calidad en la imagen,0,0,0,0,0,0,0,0,1,1233491070
6776,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,11.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1233489560
6773,CENTRO,CUNDINAMARCA,HFC,FVD,DEALERS,DIRECTA,2,3.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,1,1233489551
6772,COSTA,CORDOBA,REDCO,FVD,FVD,INDIRECTA,SE,0.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1233338864
6769,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,172.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1233188555
6767,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,199.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,1,1232397359
6764,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,6,159.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,0,1232394810
6761,EJE CAFETERO,RISARALDA,HFC,FVD,FVD,INDIRECTA,SE,,TO+TV,Duo,,,0,0,0,0,0,0,0,0,0,1225089708
6759,EJE CAFETERO,RISARALDA,HFC,TIENDAS,TIENDAS,INDIRECTA,SE,,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1225088081
6752,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,DEALERS,DIRECTA,3,0.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1221980129
6751,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,DEALERS,DIRECTA,4,0.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1221980129
6750,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,1.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1221978223
6749,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,2,72.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1216727861
7127,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,10.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1216727542
7126,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,1,14.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,1,1216727483
7124,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,34.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1216726183
7123,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,DIGITALES,INDIRECTA,1,10.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,1216725326
7121,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,2.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,1,1216725288
7118,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,13.0,TO+TV+BA,Trio,,,0,0,0,1,0,0,0,1,0,1216725052
7117,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,SE,0.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1216725048
7116,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,196.0,BA,Individual,,,1,0,0,0,0,1,0,0,0,1216723908
7115,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,2,12.0,BA,Individual,1.0,Navegacion Lenta,0,0,0,0,0,0,0,0,0,1216723424
7114,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,2,60.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1216723042
7112,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,88.0,TV+BA,Duo,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1216722772
7110,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,8.0,TO+TV,Duo,,,0,0,0,0,0,0,0,0,0,1216722396
7109,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,35.0,BA,Individual,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1216722235
7108,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,DIGITALES,INDIRECTA,2,175.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1216722108
7107,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,3.0,TO,Individual,,,0,0,0,0,0,0,0,0,1,1216722025
7106,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,1.0,BA,Individual,1.0,Servicio intermitente,0,1,0,0,0,0,0,1,0,1216721607
7104,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,5.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1216720599
7103,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,22.0,BA,Individual,1.0,Sin señal,0,0,0,0,0,0,0,0,1,1216720185
7100,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,31.0,TO+TV+BA,Trio,1.0,Mala calidad en la imagen,0,0,0,0,0,0,0,0,0,1216719188
7098,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,1.0,TO+TV,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1216719061
7096,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,0.0,TO+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1216717569
7093,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,3.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,0,1216717475
7091,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,30.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1216717204
7090,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,123.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1216716336
7087,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,2.0,TO+TV+BA,Trio,,,0,1,0,0,0,0,0,0,0,1216716249
7086,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,1,17.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1216715064
7085,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,20.0,BA,Individual,,,1,0,0,0,0,0,0,0,0,1216714992
7084,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,28.0,TO,Individual,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1216714925
7083,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,13.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1216714684
7080,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,3.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,1,0,0,1216713489
7081,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,3.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,1,0,0,1216713489
7077,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,FVD,INDIRECTA,2,20.0,TO+TV+BA,Trio,1.0,Problemas wifi,0,0,0,0,0,0,0,0,0,1214746628
7075,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,164.0,TO+BA,Duo,,,1,0,0,0,0,0,0,0,0,1214745823
7074,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,OUT BOUND,INDIRECTA,3,172.0,BA,Individual,1.0,Servicio intermitente,0,0,0,1,1,1,0,0,0,1214745582
7526,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,FVD,INDIRECTA,2,2.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1214743972
7525,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,5.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,1214743970
7523,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,17.0,TO+BA,Duo,,,1,0,0,0,0,0,0,0,0,1214742362
7522,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,83.0,BA,Individual,,,0,0,0,0,0,0,0,0,1,1214741926
7519,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,6.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1214741877
7517,NOROCCIDENTE,ANTIOQUIA,REDCO,RETAIL,RETAIL,INDIRECTA,2,31.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,1,1214741008
7516,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,19.0,TV,Individual,1.0,Sin señal,0,0,0,0,0,0,0,0,1,1214740862
7515,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,174.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1214740593
7512,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,23.0,TO+TV+BA,Trio,1.0,Navegacion Lenta,1,0,0,1,0,0,0,0,0,1214740465
7510,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,32.0,TO+BA,Duo,,,1,0,0,0,0,0,0,0,0,1214739780
7509,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,5.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1214738781
7506,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,3.0,TO+TV+BA,Trio,,,0,0,0,1,0,0,0,0,0,1214738323
7505,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,20.0,BA,Individual,,,1,0,0,0,0,0,0,0,0,1214738295
7504,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,21.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,1214738160
7502,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,12.0,TV+BA,Duo,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,1,1214737458
7499,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,11.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,0,1214737229
7497,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,17.0,TO+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1214736242
7496,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,43.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1214735751
7494,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,9.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1214734818
7493,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,173.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1214734074
7491,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,114.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1214733829
7490,COSTA,CORDOBA,REDCO,FVD,DEALERS,DIRECTA,SE,0.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1214733103
7489,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,5.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,1214733092
7487,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,0.0,TV+BA,Duo,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1214732268
7486,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,OUT BOUND,INDIRECTA,1,176.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1214731642
7483,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,7.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1214731317
7481,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,36.0,TO+BA,Duo,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1214731298
7480,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,FVD,INDIRECTA,2,65.0,BA,Individual,,,1,0,0,0,0,0,0,0,0,1214731242
7478,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,192.0,TV+BA,Duo,1.0,No navega,0,0,0,1,0,1,0,1,0,1214730852
7475,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,FVD,INDIRECTA,4,11.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1214730117
7476,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,4,11.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1214730117
7474,COSTA,BOLIVAR,HFC,CONTACT,OUT BOUND,INDIRECTA,3,9.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1214729632
7472,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,4,12.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1214728924
7471,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,55.0,TV,Individual,1.0,Sin señal,0,1,0,0,0,0,0,0,0,1214728544
7469,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,4,2.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,1,1214728472
7468,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,0.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1214726897
7920,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,31.0,TO+TV+BA,Trio,1.0,No funciona línea telefónica,0,0,0,0,0,0,0,0,0,1214726039
7919,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,24.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1214725759
7917,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,24.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1214725759
7915,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,14.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1214725435
7912,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,2,9.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1214725416
7911,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,18.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,1214724426
7908,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,1,0.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1214724089
7906,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,DIGITALES,INDIRECTA,2,15.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1214723547
7904,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,4,4.0,TO+BA,Duo,,,0,0,0,0,0,0,1,0,0,1214722737
7901,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,29.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1214722690
7900,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,1,187.0,BA,Individual,,,1,0,0,0,0,0,0,0,0,1214720855
7898,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,4.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1214720766
7897,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,21.0,BA,Individual,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1214720521
7896,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,40.0,TO,Individual,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1214720075
7895,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,3,0.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1214719769
7893,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,3.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1214719180
7892,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,170.0,BA,Individual,,,0,0,0,0,0,0,0,1,0,1214718925
7891,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,30.0,TV,Individual,1.0,Navegacion Lenta,1,0,0,0,0,0,0,0,0,1214718607
7890,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,3,0.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1214718117
7889,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,6.0,TO,Individual,1.0,Mala calidad en la imagen,0,0,0,0,0,0,0,0,0,1214718075
7887,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,4.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1214718017
7886,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,4.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,1,1214718017
7885,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,191.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1214717624
7882,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,1,4.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1214717526
7879,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,6.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1214717371
7878,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,17.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1214717110
7877,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,17.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1214717110
7876,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,13.0,TV,Individual,1.0,Sin señal,1,0,0,0,0,0,0,0,0,1214716562
7874,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,46.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1214716023
7872,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,1.0,TO+TV,Duo,1.0,No navega,0,1,0,0,0,0,0,0,0,1214714972
7871,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,23.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,1,0,1214714652
7868,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,4.0,TO+TV+BA,Trio,,,0,0,1,0,0,0,0,0,1,1214713623
7867,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,OUT BOUND,INDIRECTA,2,30.0,BA,Individual,,,0,1,0,0,0,0,0,0,0,1214713190
7866,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,4,5.0,BA,Individual,1.0,No navega,0,0,0,1,0,0,0,0,1,1214713056
7859,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,0.0,TO+TV+BA,Trio,1.0,Falla Masiva,0,0,0,0,0,0,0,0,0,1214213037
7849,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,SE,0.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1197213931
8353,COSTA,SUCRE,HFC,FVD,FVD,INDIRECTA,1,,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1196963388
8350,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,11.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1193600628
8349,COSTA,BOLIVAR,HFC,FVD,FVD,INDIRECTA,2,1.0,TV,Individual,,,0,0,0,0,0,0,0,0,1,1193597149
8347,COSTA,ATLANTICO,HFC,TIENDAS,TIENDAS,INDIRECTA,3,16.0,TO+TV,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1193550027
8346,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,SE,0.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1193548612
8345,ORIENTE,SANTANDER,REDCO,FVD,FVD,INDIRECTA,SE,0.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1193421545
8343,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,0.0,TO+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1193370071
8340,COSTA,MAGDALENA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,2,0.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1193283259
