,REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
14704,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,176.0,TV,Individual,1.0,Problemas Control Remoto,0,0,0,0,0,0,0,0,0,43040972
14703,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,27.0,TV,Individual,,,0,0,1,0,0,0,0,0,0,43040811
14702,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,2,44.0,TO,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,43040736
14701,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,44.0,BA,Individual,1.0,Sin señal,0,0,0,0,0,0,0,0,0,43039144
14700,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,3,123.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,43038183
14699,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,7.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43038143
14698,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,2,2.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,43037765
14697,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,DIGITALES,INDIRECTA,3,182.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43036388
14696,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,203.0,TV,Individual,1.0,Mala calidad en la imagen,0,0,0,0,0,0,0,0,0,43035286
14693,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,0.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,43035048
14692,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,2,47.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43034417
14691,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,1.0,TV,Individual,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,43034169
14690,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,141.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43033241
